"楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"1999. 06",26,232,368,258,118,44,"1031",111,258,1046,2608,912,948,710,444,201,504,77.9,46.8,10,8.3,70.2,42.9,73.2,46
"1999. 07",29,234,368,261,115,42,"1033",119,263,1048,2805,914,950,712,437,202,512,77.9,46,9.1,8.2,70.7,42.2,73.8,45.4
"1999. 08",27,234,361,264,115,42,"1030",117,260,1044,2684,915,951,708,435,207,516,77.4,45.7,9.5,7.6,70.1,42.3,73.3,45.4
"1999. 09",30,242,374,272,116,45,"1062",118,272,1079,2853,916,952,713,447,203,505,77.8,47,7.9,5.6,71.7,44.3,74.8,47.6
"1999. 10",28,242,368,273,122,48,"1064",116,270,1081,2871,917,953,712,445,206,508,77.6,46.7,7.2,5.6,72.1,44.1,75,47.2
"1999. 11",28,236,380,272,126,47,"1071",114,263,1088,2737,918,954,711,446,207,509,77.5,46.8,6,5.6,72.8,44,75.6,47.5
"1999. 12",28,236,372,277,117,49,"1061",119,265,1079,2704,920,956,710,436,210,519,77.2,45.6,6.5,4.8,72.2,43.4,75.1,46.8
"2000. 01",30,231,361,272,114,48,"1038",120,261,1055,3320,920,957,701,435,218,522,76.3,45.4,7.8,6,70.3,42.7,73.2,46
"2000. 02",26,233,365,269,113,48,"1037",120,260,1055,3069,921,958,695,436,226,522,75.5,45.6,7.4,5.7,69.9,43,72.7,46.2
"2000. 03",25,235,372,276,123,51,"1061",117,261,1083,3267,922,959,709,448,213,512,77,46.7,6.3,6.7,72.1,43.5,75,46.7
"2000. 04",26,235,376,286,122,53,"1075",114,261,1098,2683,923,961,719,449,205,512,77.8,46.7,6,5.8,73.2,44,76.1,47
"2000. 05",25,232,380,287,128,54,"1082",111,257,1106,2782,925,962,720,450,205,512,77.9,46.7,5.3,5.7,73.7,44.1,76.6,47.1
"2000. 06",26,231,378,290,130,55,"1087",111,257,1111,2603,926,963,720,451,206,513,77.7,46.8,4.9,5.4,73.9,44.2,76.8,47.4
"2000. 07",28,237,377,296,129,55,"1096",116,265,1121,2669,929,965,722,450,208,515,77.7,46.6,4.6,3.9,74.1,44.8,76.9,48
"2000. 08",25,230,375,293,122,55,"1075",110,256,1100,2742,931,966,720,442,211,524,77.3,45.8,5.2,5.5,73.3,43.3,76,46.3
"2000. 09",24,231,378,295,123,56,"1083",111,255,1107,2925,933,967,720,449,213,519,77.1,46.4,4.6,6.2,73.6,43.5,76.4,46.6
"2000. 10",24,240,381,298,126,55,"1101",118,264,1125,2880,935,969,723,452,212,517,77.3,46.6,4.1,4.6,74.2,44.5,77.1,47.8
"2000. 11",24,238,388,298,129,55,"1109",115,262,1132,2728,936,970,719,462,217,508,76.8,47.6,4.2,4.1,73.5,45.7,76.6,49
