"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","집세","유치원납입금","고등학교납입금","보육시설이용료","독서실비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","X20대취업율","X30대취업율","X40대취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_silup_rate","F_silup_rate","대학교납입금","청소년학원비","예체능학원비","대학원납입금"
"1999. 06",58.324,65.371,95.192,65.971,57.23,62.502,72.635,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,1076,232,368,258,2608,912,948,710,444,10,8.3,159.389,108.094,250,95.516
"1999. 07",57.605,65.099,95.192,65.971,57.23,62.137,72.491,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,663,234,368,261,2805,914,950,712,437,9.1,8.2,159.389,108.094,250,95.516
"1999. 08",62.742,65.317,95.491,65.971,57.23,62.901,72.346,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,719,234,361,264,2684,915,951,708,435,9.5,7.6,159.389,110.191,250,95.516
"1999. 09",61.15,65.371,94.793,65.971,57.102,64.462,72.13,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,966,242,374,272,2853,916,952,713,447,7.9,5.6,160.421,110.191,250,96.349
"1999. 10",62.383,66.188,95.692,66.095,57.102,69.245,71.407,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,2446,242,368,273,2871,917,953,712,445,7.2,5.6,160.421,110.191,250,96.349
"1999. 11",60.327,66.133,94.593,66.034,57.102,71.038,71.624,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,2467,236,380,272,2737,918,954,711,446,6,5.6,160.421,110.191,250,96.349
"1999. 12",60.996,65.643,92.496,66.034,57.358,69.411,71.551,53.463,85.599,83.16,73.782,68.798,58.05,64.551,91.115,1818,236,372,277,2704,920,956,710,436,6.5,4.8,160.421,110.191,250,96.349
"2000. 01",62.827,65.567,91.075,65.889,58.266,68.471,71.371,53.464,85.659,83.16,73.783,73.268,58.05,64.565,91.115,1253,231,361,272,3320,920,957,701,435,7.8,6,160.37,110.631,252.703,96.421
"2000. 02",63.075,65.634,91.258,65.956,58.989,68.328,71.588,53.464,85.659,83.16,74.982,73.268,58.05,64.565,91.115,941,233,365,269,3069,921,958,695,436,7.4,5.7,160.37,113.83,252.955,96.421
"2000. 03",62.951,65.7,91.258,65.956,60.494,68.328,71.66,55.505,92.508,83.16,74.982,76.066,58.05,65.685,91.115,1824,235,372,276,3267,922,959,709,448,6.3,6.7,178.319,121.054,257.861,108.672
