"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","초등학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","취업학원비","외국어학원비","운동강습료","혼인율","10대취업율","20대취업율","30대취업율","40대취업율","50대취업율","60세이상취업율","chul","M15_Up_Ingu","F15_Up_Ingu","Mgj_Ingu","Fgj_Ingu","M_non_gj_Ingu","F_non_gj_Ingu","M_gj_chamga","F_gj_chamga","M_silup_rate","F_silup_rate","M_goyong_rate","F_goyong_rate","M_goyong_rate_15_64","F_goyong_rate_15_64"
"1999. 06",58.324,65.371,95.192,65.971,57.23,62.502,57.069,72.635,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,57.677,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,1076,26,232,368,258,118,44,2608,912,948,710,444,201,504,77.9,46.8,10,8.3,70.2,42.9,73.2,46
"1999. 07",57.605,65.099,95.192,65.971,57.23,62.137,57.069,72.491,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,57.677,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,663,29,234,368,261,115,42,2805,914,950,712,437,202,512,77.9,46,9.1,8.2,70.7,42.2,73.8,45.4
"1999. 08",62.742,65.317,95.491,65.971,57.23,62.901,57.026,72.346,53.463,85.599,51.395,55.173,52.821,52.609,42.907,83.16,73.782,59.774,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,719,27,234,361,264,115,42,2684,915,951,708,435,207,516,77.4,45.7,9.5,7.6,70.1,42.3,73.3,45.4
"1999. 09",61.15,65.371,94.793,65.971,57.102,64.462,56.94,72.13,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,59.774,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,966,30,242,374,272,116,45,2853,916,952,713,447,203,505,77.8,47,7.9,5.6,71.7,44.3,74.8,47.6
"1999. 10",62.383,66.188,95.692,66.095,57.102,69.245,56.723,71.407,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,59.774,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,2446,28,242,368,273,122,48,2871,917,953,712,445,206,508,77.6,46.7,7.2,5.6,72.1,44.1,75,47.2
"1999. 11",60.327,66.133,94.593,66.034,57.102,71.038,56.593,71.624,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,59.774,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,2467,28,236,380,272,126,47,2737,918,954,711,446,207,509,77.5,46.8,6,5.6,72.8,44,75.6,47.5
"1999. 12",60.996,65.643,92.496,66.034,57.358,69.411,56.55,71.551,53.463,85.599,51.395,56.205,52.821,52.609,43.74,83.16,73.782,59.774,50.417,62.472,60.26,53.976,67.008,68.798,58.05,64.551,91.115,1818,28,236,372,277,117,49,2704,920,956,710,436,210,519,77.2,45.6,6.5,4.8,72.2,43.4,75.1,46.8
"2000. 01",62.827,65.567,91.075,65.889,58.266,68.471,58.141,71.371,53.464,85.659,51.393,56.171,52.806,52.65,43.771,83.16,73.783,59.778,50.853,62.488,61.6,55.057,67.015,73.268,58.05,64.565,91.115,1253,30,231,361,272,114,48,3320,920,957,701,435,218,522,76.3,45.4,7.8,6,70.3,42.7,73.2,46
"2000. 02",63.075,65.634,91.258,65.956,58.989,68.328,58.141,71.588,53.464,85.659,51.393,56.171,52.806,52.65,43.771,83.16,74.982,62.977,50.853,62.74,61.6,55.057,67.015,73.268,58.05,64.565,91.115,941,26,233,365,269,113,48,3069,921,958,695,436,226,522,75.5,45.6,7.4,5.7,69.9,43,72.7,46.2
"2000. 03",62.951,65.7,91.258,65.956,60.494,68.328,58.198,71.66,55.505,92.508,56.271,63.732,58.316,58.018,50.654,83.16,74.982,62.977,58.077,62.74,62.959,55.057,69.203,76.066,58.05,65.685,91.115,1824,25,235,372,276,123,51,3267,922,959,709,448,213,512,77,46.7,6.3,6.7,72.1,43.5,75,46.7
