"연도별","농축수산물","공업제품","내구재","섬유제품","출판물","석유류","의약품","기타","집세","유치원납입금","고등학교납입금","전문대학납입금","국공립대학교납입금","사립대학교납입금","국공립대학원납입금","사립대학원납입금","보육시설이용료","독서실비","문화강습료","초등학생학원비","중학생학원비","고등학생학원비","음악학원비","미술학원비","운동학원비","전산학원비","가정학습지","이러닝이용료","학교보충교육비","취업학원비","외국어학원비","운동강습료","혼인율"
"1997. 01",55.189,58.138,97.69,62.648,50.146,46.594,"-",47.298,74.515,50.062,73.993,45.864,49.793,50.332,47.132,37.456,87.536,70.745,"-",56.143,"-",51.545,59.742,64.607,49.482,67.008,58.845,"-","-",47.144,57.643,86.057,1153
"1997. 02",56.062,58.301,97.69,62.711,50.316,47.723,"-",47.384,74.659,50.062,73.993,45.864,49.793,50.332,47.132,37.456,87.536,70.745,"-",56.143,"-",51.545,59.742,64.607,50.23,67.008,58.845,"-","-",47.144,57.643,86.057,875
"1997. 03",55.035,58.41,97.489,62.711,52.108,46.96,"-",47.515,74.659,51.483,78.272,51.395,53.278,52.821,52.609,39.889,87.536,70.745,"-",57.165,"-",53.72,59.742,64.607,51.728,67.008,62.539,"-","-",47.144,57.643,86.057,2207
"1997. 04",55.961,58.41,97.389,62.711,52.152,46.296,"-",47.601,74.948,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",57.165,"-",53.72,59.742,64.607,51.728,67.008,62.539,"-","-",47.144,57.643,86.057,2538
"1997. 05",55.395,58.356,97.389,62.895,52.152,44.901,"-",47.687,74.948,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",57.165,"-",53.72,59.742,64.607,51.728,67.008,62.539,"-","-",47.144,57.643,86.057,2401
"1997. 06",54.932,58.519,97.589,62.895,52.152,45.332,"-",47.817,75.165,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",57.165,"-",53.72,59.742,64.607,51.728,67.008,62.539,"-","-",47.144,57.643,86.057,1293
"1997. 07",55.292,58.574,97.29,62.895,52.152,43.538,"-",47.947,75.382,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",57.165,"-",53.72,62.472,64.607,53.976,67.008,62.539,"-","-",47.144,57.643,86.057,685
"1997. 08",56.474,58.791,96.99,64.433,52.152,43.439,"-",47.904,75.382,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",57.165,"-",53.72,62.472,64.607,53.976,67.008,62.539,"-","-",47.144,59.929,86.057,738
"1997. 09",56.268,58.899,96.99,64.433,52.023,44.203,"-",47.86,75.382,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",57.165,"-",53.72,62.472,64.607,53.976,67.008,62.539,"-","-",47.144,59.929,86.057,1216
"1997. 10",55.343,59.008,97.19,64.803,52.023,44.569,"-",47.947,75.743,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",59.774,"-",53.72,62.472,64.607,53.976,67.008,62.539,"-","-",47.144,59.929,86.057,2865
"1997. 11",54.367,59.389,97.091,65.048,52.023,46.826,"-",47.947,75.888,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",59.774,"-",53.72,62.472,64.607,53.976,67.008,62.539,"-","-",47.144,59.929,86.057,2644
"1997. 12",54.624,62.543,97.789,65.048,52.108,66.686,"-",48.422,75.888,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,72.556,"-",59.774,"-",53.72,62.472,64.607,53.976,67.008,62.539,"-","-",47.144,59.929,86.057,1900
"1998. 01",54.932,64.719,99.088,65.048,53.517,71.17,"-",51.449,75.888,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,73.782,"-",59.774,"-",53.72,62.472,65.722,53.976,67.008,68.798,"-","-",47.144,59.929,86.057,1070
"1998. 02",55.343,66.676,100.986,65.417,54.328,76.85,"-",52.27,75.888,53.424,78.272,51.395,53.278,52.821,52.609,39.889,89.726,73.782,"-",59.774,"-",53.761,62.472,65.722,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,1299
"1998. 03",55.497,65.588,100.886,65.417,54.67,64.826,"-",53.308,75.96,53.237,78.272,51.395,53.237,52.821,52.609,39.889,89.726,73.782,"-",59.774,"-",52.382,62.472,65.722,53.976,67.008,68.798,"-","-",58.05,59.929,91.115,2195
