"","楷飞拌摸喊","15 - 19技","20 - 29技","30 - 39技","40 - 49技","50 - 59技","60技捞惑","15 - 64技","15 - 24技","15 - 29技","拌","chul"
"1","1998. 01",23,246,358,236,97,45,"-",117,268,1005,3370
"2","1998. 02",21,242,353,235,95,43,"-",113,263,990,3163
"3","1998. 03",20,244,361,233,100,42,"-",113,264,999,3409
"4","1998. 04",21,243,359,241,102,41,"-",113,264,1007,2925
"5","1998. 05",21,244,359,241,105,42,"-",114,264,1010,2875
"6","1998. 06",20,243,357,235,104,41,"-",112,262,999,2660
"7","1998. 07",22,236,349,237,102,41,"-",110,258,987,2785
"8","1998. 08",20,233,345,236,102,42,"-",110,254,978,2833
"9","1998. 09",20,232,349,239,103,46,"-",109,252,990,3023
"10","1998. 10",22,236,354,242,106,47,"-",110,259,1008,2944
"11","1998. 11",23,238,360,244,106,47,"-",111,261,1018,2724
"12","1998. 12",26,228,355,246,100,43,"-",108,253,997,2830
"13","1999. 01",23,226,344,241,100,39,"-",105,249,973,3227
"14","1999. 02",23,224,349,239,101,40,"-",104,246,975,2832
"15","1999. 03",23,222,354,243,106,43,"-",105,246,991,3247
"16","1999. 04",27,224,358,251,112,47,"-",109,251,1019,2888
"17","1999. 05",25,226,363,254,117,45,"-",109,251,1030,2867
"18","1999. 06",26,232,368,258,118,44,"1031",111,258,1046,2608
"19","1999. 07",29,234,368,261,115,42,"1033",119,263,1048,2805
"20","1999. 08",27,234,361,264,115,42,"1030",117,260,1044,2684
"21","1999. 09",30,242,374,272,116,45,"1062",118,272,1079,2853
"22","1999. 10",28,242,368,273,122,48,"1064",116,270,1081,2871
"23","1999. 11",28,236,380,272,126,47,"1071",114,263,1088,2737
"24","1999. 12",28,236,372,277,117,49,"1061",119,265,1079,2704
"25","2000. 01",30,231,361,272,114,48,"1038",120,261,1055,3320
"26","2000. 02",26,233,365,269,113,48,"1037",120,260,1055,3069
"27","2000. 03",25,235,372,276,123,51,"1061",117,261,1083,3267
"28","2000. 04",26,235,376,286,122,53,"1075",114,261,1098,2683
"29","2000. 05",25,232,380,287,128,54,"1082",111,257,1106,2782
"30","2000. 06",26,231,378,290,130,55,"1087",111,257,1111,2603
"31","2000. 07",28,237,377,296,129,55,"1096",116,265,1121,2669
"32","2000. 08",25,230,375,293,122,55,"1075",110,256,1100,2742
"33","2000. 09",24,231,378,295,123,56,"1083",111,255,1107,2925
"34","2000. 10",24,240,381,298,126,55,"1101",118,264,1125,2880
"35","2000. 11",24,238,388,298,129,55,"1109",115,262,1132,2728
"36","2000. 12",23,235,386,299,124,49,"1097",114,259,1117,2765
"37","2001. 01",26,236,370,291,117,48,"1068",119,262,1088,3072
"38","2001. 02",26,235,365,296,119,48,"1069",119,261,1088,2727
"39","2001. 03",26,235,371,305,124,49,"1092",117,261,1110,2896
"40","2001. 04",26,240,372,313,132,54,"1114",122,266,1136,2609
"41","2001. 05",24,245,375,318,135,60,"1133",122,269,1157,2511
"42","2001. 06",22,243,374,322,132,60,"1129",120,265,1153,2344
