"년도","남계","남15세.미만","남15.19세","남20.24세","남25.29세","남30.34세","남35.39세","남40.44세","남45.49세","남50.54세","여계.1","여15세.미만.1","여15.19세.1","여20.24세.1","여25.29세.1","여30.34세.1","여35.39세.1","여40.44세.1","여45.49세.1","여50.54세.1","남혼인연령","여혼인연령","num","X15.29silup","X30.59silup","X60_silup","avg_sil"
2000,15161,0,110,1398,8323,4227,864,181,44,8,14049,3,436,4387,7486,1328,256,90,44,14,29.21,26.39,34433,8.1,4.6,3.6,5.4
2001,14196,1,119,1245,7612,4043,867,235,59,11,13056,1,380,3796,7060,1389,274,101,38,13,29.38,26.64,30494,8.3,3.7,3.4,4.7
2002,13810,1,97,1163,7016,4311,912,226,62,11,12892,5,332,3561,6981,1592,282,80,37,13,29.58,26.85,26775,8,2.9,3.1,4
2003,12741,0,69,1029,6079,4144,1000,293,87,29,11957,0,216,3014,6732,1603,263,80,33,11,30.03,27.11,26832,8.8,3.1,2.3,4.4
2004,12454,0,69,913,5682,4250,1029,331,116,38,11581,1,196,2741,6512,1721,282,71,30,17,30.35,27.32,25092,8.2,3.4,3.2,4.5
2005,12789,0,58,880,5436,4500,1282,453,130,31,11692,1,146,2393,6691,1987,324,71,52,21,30.71,27.65,23026,8.3,3.5,3.5,4.6
2006,13833,0,74,865,6010,4877,1384,422,151,35,12863,1,191,2357,7655,2139,376,80,45,9,30.66,27.75,23711,9.2,3.1,2.7,4.4
2007,14892,0,50,846,6404,5280,1640,440,179,35,13908,0,145,2203,8380,2562,475,82,42,13,30.85,28.01,26712,8.3,3.1,2.4,4.1
2008,14577,0,52,638,6027,5219,1872,549,177,34,13251,0,134,1757,7886,2790,509,114,40,14,31.23,28.38,25365,7.7,3,2.5,3.9
2009,13287,0,39,554,5323,4918,1738,483,164,51,12258,0,105,1461,7173,2776,530,122,37,28,31.39,28.72,24379,8.2,3.7,3.7,4.6
2010,14216,0,35,549,5246,5536,1954,610,196,71,13051,0,98,1420,7220,3439,641,148,47,23,31.7,29.03,25752,8.5,4.2,4.8,5.1
2011,14781,0,45,534,5187,6098,2038,607,186,63,13835,1,128,1472,7336,3938,714,156,52,25,31.76,29.17,26118,10,3.5,4.5,4.8
2012,14951,0,49,545,4707,6612,2121,635,199,65,13886,0,130,1425,6771,4480,818,159,49,26,31.97,29.48,27781,10.4,3.1,4.4,4.5
2013,14956,0,57,582,4328,6781,2209,706,198,70,13963,0,148,1419,6534,4766,814,194,51,21,32.13,29.54,25560,9.3,3.2,3,4.2
2014,14344,0,58,624,3845,6652,2144,734,196,72,13511,0,149,1502,6004,4620,940,224,35,15,32.27,29.62,25786,12.1,3.1,3.9,4.7
2015,14232,0,66,561,3760,6472,2314,754,201,66,13370,0,141,1317,5922,4639,1016,226,68,23,32.46,29.85,25491,11.9,3.5,5.2,5.1
2016,13403,0,59,562,3486,5781,2392,739,254,93,12696,0,115,1227,5475,4390,1149,222,69,28,32.67,30.06,23609,11.5,3.1,6.2,4.9
2017,12542,0,46,500,3377,5168,2319,702,295,89,11930,0,87,1090,5185,4023,1174,246,73,27,32.8,30.19,20445,10.6,3.2,4.8,4.7
